name,brand,description,price,category,photos
AKASH DTH Full Setup (Basic) with 130+ Live TV Channel and 60+ Full HD Channel,AKASH,Latest Offers,"4,999৳",tv,https://www.startech.com.bd/image/cache/catalog/television/akash/akash-set-top-box-basic-500x500.jpg
"Smart SEL-32B24K 32"" HD Basic LED TV",Smart,Latest Offers,"14,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-24l22ks/sel-24l22ks-01-500x500.webp
OnePlus 32 Y1G Y Series 32-Inch HD Smart Android TV,OnePlus,Latest Offers,"21,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/oneplus/Y1G-1-500x500.webp
"Smart SEL-32S22KS 32"" HD LED Android TV",Smart,Latest Offers,"17,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-32s22ks/sel-32s22ks-01-500x500.webp
Haier H32K800X 32 Inch Bezel Less HD Google TV,Haier,Latest Offers,"22,400৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h32k800x/h32k800x-01-500x500.webp
Daewoo 32DE54HLB 32 Inch HD Android Google Smart TV,Daewoo,Latest Offers,"24,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/daewoo/32de54hlb/32de54hlb-01-500x500.webp
"Samsung 32T4400 32"" HD LED Smart TV",Samsung,Latest Offers,"23,600৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/32t4400/32t4400-500x500.webp
"Hisense 43A4F4 43"" Bezelless Smart Android FHD TV",Hisense,Latest Offers,"30,999৳",tv,https://www.startech.com.bd/image/cache/catalog/television/hisense/32a4f4/32a4f4-001-500x500.webp
ROWA 43S52 43 Inch Full HD Android Smart TV,ROWA,Latest Offers,"30,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/rowa/43s52/43s52-01-500x500.webp
JVCO DK5L 50 Inch 4K Single Glass Android Voice Control Smart TV,JVCO,Latest Offers,"40,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/jvco/dk5l/dk5l-01-500x500.webp
"Smart SEL-43V24K 43"" Voice Control Android LED Smart TV",Smart,Latest Offers,"31,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-43v24k/sel-43v24k-001-500x500.webp
Haier H43K800UX 43 Inch Bezel Less 4K Google TV,Haier,Latest Offers,"36,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h43k800ux/h43k800ux-01-500x500.webp
Xiaomi A 43 Inch FHD Smart Android Google TV (Global Version),XIAOMI,Latest Offers,"32,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/xiaomi/xiaomi-a-l43ma-afme/xiaomi-a-l43ma-afme-500x500.webp
Haier H43P7UX 43 Inch Voice Control HQLED 4K Smart Google TV,Haier,Latest Offers,"41,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h43p7ux/h43p7ux-01-500x500.webp
"Hisense 43A6F3 43"" Bezelless Smart Android 4K UHD Google TV",Hisense,Latest Offers,"38,999৳",tv,https://www.startech.com.bd/image/cache/catalog/television/hisense/43a6f3/43a6f3-001-500x500.webp
SINGER Primax S43-SLE43U5000GOTV 43 Inch 4K Android Google TV,SINGER,Latest Offers,"46,490৳",tv,https://www.startech.com.bd/image/cache/catalog/television/singer/sle43a5000gotv/sle43a5000gotv-01-500x500.webp
Xiaomi A Pro 43 Inch 4K UHD Smart Android Google TV (Global Version),XIAOMI,Latest Offers,"38,498৳",tv,https://www.startech.com.bd/image/cache/catalog/television/xiaomi/mi-a-pro/mi-a-pro-43-01-500x500.webp
"Hisense 43U6F3 43"" Bezelless Smart Android 4K ULED Google TV",Hisense,Latest Offers,"42,999৳",tv,https://www.startech.com.bd/image/cache/catalog/television/hisense/43u6f3/43u6f3-01-500x500.webp
"Smart SEL-43G25F 43"" 4K Voice Control Android Google TV",Smart,Latest Offers,"44,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-43g25f/sel-43g25f-01-500x500.webp
Sony Bravia KD-43X75K 43 Inch 4K Ultra HD Smart Android LED TV (Unofficial),Sony,Latest Offers,"53,999৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-50x75/kd-50x75-02-500x500.jpg
"Samsung 43CU7700 43"" Crystal 4K UHD Smart TV",Samsung,Latest Offers,"41,498৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu7700/43cu7700-01-500x500.webp
"Daewoo 43DM54UAB 43"" 4K Android Google Smart TV",Daewoo,Latest Offers,"46,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/daewoo/43dm54uab/43dm54uab-01-500x500.webp
Samsung 43DU7700 43 Inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"43,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43du7700/43du7700-01-500x500.webp
"Hisense 50A6F3 50"" Bezelless Smart Android 4K UHD Google TV",Hisense,Latest Offers,"49,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/hisense/50a6f3/50a6f3-01-500x500.webp
ROWA 55U62 55 Inch 4K Android Smart Voice Control Google TV,ROWA,Latest Offers,"64,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/rowa/55u62/55u62-01-500x500.webp
Samsung 50DU8100 50 Inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"63,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/50du8100/50du8100-01-500x500.webp
"Smart SEL-50G25F 50"" 4K Voice Control Android Google TV",Smart,Latest Offers,"54,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-50g25f/sel-50g25f-500x500.webp
Sony Bravia KD-50X75K 50 Inch 4K Ultra HD Smart Android LED TV,Sony,Latest Offers,"67,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-50x75/kd-50x75-02-500x500.jpg
"Smart SEL-50V24K 50"" 4K Voice Control Android LED Smart TV",Smart,Latest Offers,"51,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-43v24k/sel-43v24k-001-500x500.webp
Haier H55P7UX 55 Inch Voice Control HQLED 4K Smart Google TV,Haier,Latest Offers,"62,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h43p7ux/h43p7ux-01-500x500.webp
"Hisense 55A6F3 55"" Bezelless Smart Android 4K UHD Google TV",Hisense,Latest Offers,"57,999৳",tv,https://www.startech.com.bd/image/cache/catalog/television/hisense/55a6f3/55a6f3-01-500x500.webp
Samsung 55CU8100 55 Inch Crystal 4K UHD HDR Smart TV,Samsung,Latest Offers,"70,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu8100/43cu8100-01-500x500.webp
Xiaomi A Pro 55 Inch 4K UHD Smart Android Google TV (Global Version),XIAOMI,Latest Offers,"57,499৳",tv,https://www.startech.com.bd/image/cache/catalog/television/xiaomi/mi-a-pro/mi-a-pro-43-01-500x500.webp
Samsung 55DU7700 55 Inch Crystal 4K UHD Smart TV (Unofficial),Samsung,Latest Offers,"68,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/50du7700/50du7700-01-500x500.webp
Sony Bravia KD-43X75K 43 Inch 4K Ultra HD Smart Android LED TV,Sony,Latest Offers,"57,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-43x75/bravia-kd-43x75-001-500x500.webp
"Daewoo 50DM54UAB 50"" 4K Android Google Smart TV",Daewoo,Latest Offers,"60,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/daewoo/50dm54uab/50dm54uab-01-500x500.webp
Samsung 50AU7700 50 inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"57,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/50au7700/50au7700-01-500x500.webp
Sony Bravia KD-55X75K 55 Inch 4K Ultra HD Smart Android TV (Unofficial),Sony,Latest Offers,"80,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-55x75k/bravia-kd-55x75k-01-500x500.webp
Samsung 55DU8100 55 Inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"73,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/50du8100/50du8100-01-500x500.webp
"Smart SEL-55G25F 55"" 4K Voice Control Android Google TV",Smart,Latest Offers,"64,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-55g25f/sel-55g25f-500x500.webp
"Smart SEL-55V24K 55"" 4K Voice Control Android LED Smart TV",Smart,Latest Offers,"61,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-43v24k/sel-43v24k-001-500x500.webp
SINGER Primax S55-SLE55U5000GOTV 55 Inch 4K Android Google TV,SINGER,Latest Offers,"75,990৳",tv,https://www.startech.com.bd/image/cache/catalog/television/singer/sle43a5000gotv/sle43a5000gotv-01-500x500.webp
"Samsung 50CU7700 50"" Crystal 4K UHD Smart TV",Samsung,Latest Offers,"60,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu7700/43cu7700-01-500x500.webp
Samsung 55AU7700 55 inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"65,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/50au7700/50au7700-01-500x500.webp
Samsung 55AU9000 55 Inch Crystal 4K UHD HDR Smart TV,Samsung,Latest Offers,"88,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55au9000/55au9000-01-500x500.jpg
"Hisense 65A6F3 65"" Bezelless Smart Android 4K UHD Google TV",Hisense,Latest Offers,"89,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/hisense/65a6f3/65a6f3-01-500x500.webp
Samsung 55Q70C 55 Inch QLED 4K UHD Smart TV,Samsung,Latest Offers,"90,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55q70c/q70c-01-500x500.webp
Sony Bravia KD-55X77L 55 Inch 4K Ultra HD Smart LED Google TV,Sony,Latest Offers,"94,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-75x77l/kd-75x77l-01-500x500.webp
"Daewoo 55DM55UQB 55"" 4K QLED Android Google Smart TV",Daewoo,Latest Offers,"76,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/daewoo/55dm55uqb/55dm55uqb-01-500x500.webp
Samsung 55DU7700 55 Inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"75,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43du7700/43du7700-01-500x500.webp
Xiaomi A Pro 65 Inch 4K UHD Smart Android Google TV (Global Version),XIAOMI,Latest Offers,"79,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/xiaomi/mi-a-pro/mi-a-pro-43-01-500x500.webp
"Smart SEL-65S224KKS 65"" 4K Voice Control Android TV",Smart,Latest Offers,"76,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-65s224kks/sel-65s224kks-01-500x500.webp
Samsung 50CU8000 50 Inch Crystal 4K UHD HDR Smart TV,Samsung,Latest Offers,"70,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu8000/43cu8000-01-500x500.webp
Sony Bravia KD-55X80L 55 Inch 4K Ultra HD Smart Android TV (Unofficial),Sony,Latest Offers,"98,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-65x80l/kd-65x80l-01-500x500.webp
"Smart SEL-65G25F 65"" 4K Voice Control Android Google TV",Smart,Latest Offers,"84,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-65g25f/sel-65g25f-500x500.webp
"Sony Bravia 3 K-55S30 55"" 4K UHD Google Smart TV (Unofficial)",Sony,Latest Offers,"108,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-3-k-55s30/bravia-3-k-55s30-500x500.webp
Haier H65P7UX 65 Inch Voice Control HQLED 4K Smart Google TV,Haier,Latest Offers,"85,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h43p7ux/h43p7ux-01-500x500.webp
Sony Bravia KD-50X75K 50 Inch 4K Ultra HD Smart TV,Sony,Latest Offers,"74,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-55x75k/bravia-kd-55x75k-001-500x500.webp
Samsung 65CU8100 65 Inch Crystal 4K UHD HDR Smart TV,Samsung,Latest Offers,"113,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu8100/43cu8100-01-500x500.webp
Sony Bravia KD-55X85L 55 Inch 4K UHD Google Assistant with Alexa Compatibility Smart TV (Unofficial),Sony,Latest Offers,"114,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-55x85l/bravia-kd-55x85l-05-500x500.webp
LG 65UR8050 65 Inch 4K UHD Smart TV,LG,Latest Offers,"120,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/65ur8050/65ur8050-01-500x500.webp
Haier H55S900UX 55 Inch QLED 4K Google TV,Haier,Latest Offers,"103,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h55s900ux/h55s900ux-01-500x500.webp
Sony Bravia KD-55X75K 55 Inch 4K Ultra HD Smart Android TV,Sony,Latest Offers,"94,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-55x75k/bravia-kd-55x75k-001-500x500.webp
Sony Bravia KD-43X80L 43 Inch 4K Ultra HD Smart TV,Sony,Latest Offers,"83,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-65x80l/bravia-kd-55x80l-001-500x500.webp
Sony Bravia 3 K-43S30 43 Inch 4K UHD Google TV,Sony,Latest Offers,"99,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/k-43s30/k-43s30-001-500x500.webp
"Daewoo 65DM55UQB 65"" 4K QLED Android Google Smart TV",Daewoo,Latest Offers,"105,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/daewoo/65dm55uqb/65dm55uqb-01-500x500.webp
Samsung 65Q70C 65 Inch QLED 4K UHD Smart TV,Samsung,Latest Offers,"133,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55q70c/q70c-01-500x500.webp
Sony Bravia KD-65X80L 65 Inch 4K Ultra HD Smart LED Android TV (Unofficial),Sony,Latest Offers,"134,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-65x80l/kd-65x80l-01-500x500.webp
Sony Bravia KD-55X80L 55 Inch 4K Ultra HD Smart Android TV,Sony,Latest Offers,"109,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-65x80l/bravia-kd-55x80l-001-500x500.webp
"Sony Bravia 3 K-65S30 65"" 4K UHD Google Smart TV (Unofficial)",Sony,Latest Offers,"140,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-3-k-55s30/bravia-3-k-55s30-500x500.webp
"Hisense 75A6F3 75"" Bezelless Smart Android 4K UHD Google TV",Hisense,Latest Offers,"123,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/hisense/75a6f3/75a6f3-01-500x500.webp
Samsung 65DU7700 65 Inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"107,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65du7700/65du7700-01-500x500.webp
"Samsung 55Q60B 55"" QLED UHD 4K HDR Smart TV",Samsung,Latest Offers,"98,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65q60b/65q60b-01-500x500.webp
Samsung 75CU8100 75 Inch Crystal 4K UHD HDR Smart TV,Samsung,Latest Offers,"147,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu8100/43cu8100-01-500x500.webp
"Samsung 55Q60D 55"" QLED 4K UHD HDR Smart TV",Samsung,Latest Offers,"122,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55q60d/55q60d-001-500x500.webp
LG 70UP7750 70 Inch 4K UHD Smart Television,LG,Latest Offers,"150,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/70up7750/70up7750-01-500x500.webp
Sony Bravia KD-65X85L 65 Inch 4K UHD Smart TV (Unofficial),Sony,Latest Offers,"152,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-55x85l/bravia-kd-55x85l-05-500x500.webp
Samsung 55QN700B 55 Inch Neo QLED 8K HDR Smart TV With Alexa Built-In,Samsung,Latest Offers,"157,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55qn700b/55qn700b-01-500x500.webp
Sony Bravia XR-55X90L 55 Inch 4K UHD Smart TV (Unofficial),Sony,Latest Offers,"160,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-xr-55x90l/bravia-xr-55x90l-05-500x500.webp
LG C2 55-inch evo OLED 4K UHD Smart TV,LG,Latest Offers,"160,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/c2-55-inch/c2-55-inch-01-500x500.webp
Samsung 65Q80C 65 Inch QLED 4K UHD Smart TV,Samsung,Latest Offers,"162,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65q80c/65q80c-01-500x500.webp
Haier H65S900UX 65 Inch QLED 4K Google TV,Haier,Latest Offers,"136,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h55s900ux/h55s900ux-01-500x500.webp
Sony Bravia KD-65X75K 65 Inch 4K Ultra HD Smart LED Android TV,Sony,Latest Offers,"120,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-65x75k/kd-65x75k-001-500x500.webp
Sony Bravia KD-55X85L 55 Inch 4K UHD Google Assistant with Alexa Compatibility Smart TV,Sony,Latest Offers,"129,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-55x85l/kd-55x85l-02-500x500.webp
LG 65QNED86 65 Inch QNED MiniLED 4K UHD Smart TV,LG,Latest Offers,"170,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/65qned86/65qned86-01-500x500.webp
Sony Bravia 3 K-50S30 50 Inch 4K UHD Google TV,Sony,Latest Offers,"129,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/k-43s30/k-43s30-001-500x500.webp
Samsung 75DU7700 75 Inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"144,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65du7700/65du7700-01-500x500.webp
Samsung 55Q70B 55 Inch QLED 4K UHD Smart TV,Samsung,Latest Offers,"108,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65q70b/65q70b-05-500x500.webp
"Samsung 55QN90B 55"" Neo QLED UHD 4K Smart TV",Samsung,Latest Offers,"165,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55qn90b/55qn90b-01-500x500.webp
